Date,Open,High,Low,Close,Adj Close,Volume
2009-10-26,120.610001,123.250000,119.150002,120.610001,83.550179,38785400
2009-11-02,120.769997,123.500000,119.500000,123.489998,85.545242,30790900
2009-11-09,123.919998,127.800003,123.489998,127.029999,88.392433,31065000
2009-11-16,127.169998,128.649994,126.459999,126.959999,88.343712,23482700
2009-11-23,127.699997,128.940002,124.260002,125.699997,87.466957,19106900
2009-11-30,125.120003,128.899994,124.919998,127.250000,88.545502,30307700
2009-12-07,126.879997,129.770004,126.110001,129.679993,90.236427,29242700
2009-12-14,129.649994,129.979996,127.000000,127.910004,89.004776,34452500
2009-12-21,127.800003,130.570007,127.680000,130.570007,90.855721,18700700
2009-12-28,130.990005,132.850006,130.679993,130.899994,91.085335,18075000
2010-01-04,131.179993,132.970001,128.910004,130.850006,91.050545,28639800
2010-01-11,131.059998,132.889999,128.669998,131.779999,91.697662,35873500
2010-01-18,131.630005,134.250000,125.370003,125.500000,87.327827,48810900
2010-01-25,126.330002,127.750000,121.900002,122.389999,85.163742,42786400
2010-02-01,123.230003,126.070000,121.830002,123.519997,85.950035,35063800
2010-02-08,123.150002,124.199997,121.610001,124.000000,86.284035,30088800
2010-02-15,124.910004,128.059998,124.110001,127.190002,88.899620,24433700
2010-02-22,127.300003,128.270004,125.570000,127.160004,88.878677,23624900
2010-03-01,127.500000,129.089996,125.470001,127.250000,88.941528,29153500
2010-03-08,127.059998,128.369995,125.199997,127.940002,89.423859,33736000
2010-03-15,127.400002,128.929993,126.779999,127.709999,89.263084,32679700
2010-03-22,127.110001,130.729996,126.570000,129.259995,90.346466,31453700
2010-03-29,129.300003,129.949997,127.550003,128.250000,89.640518,17954900
2010-04-05,128.380005,129.800003,127.120003,128.759995,89.996964,24394000
2010-04-12,128.570007,132.169998,127.839996,130.630005,91.304031,35328700
2010-04-19,130.380005,132.279999,127.769997,129.990005,90.856705,46345200
2010-04-26,129.759995,132.000000,128.710007,129.000000,90.164726,35378000
2010-05-03,129.389999,130.139999,116.000000,122.099998,85.341949,43103500
2010-05-10,126.269997,133.100006,125.059998,131.190002,92.165443,52007600
2010-05-17,130.679993,131.990005,121.400002,125.419998,88.111824,52738700
2010-05-24,125.260002,126.389999,121.470001,125.260002,87.999435,40594400
2010-05-31,124.690002,128.220001,124.199997,125.279999,88.013466,31155200
2010-06-07,125.570000,128.800003,122.820000,128.449997,90.240501,36446000
2010-06-14,128.500000,131.250000,128.339996,130.149994,91.434784,34958900
2010-06-21,131.419998,131.940002,127.120003,127.120003,89.306122,35729700
2010-06-28,127.650002,129.470001,120.610001,121.860001,85.610794,39925900
2010-07-05,123.580002,128.199997,122.169998,127.959999,89.896263,22776300
2010-07-12,127.370003,131.600006,127.160004,128.029999,89.945427,30691500
2010-07-19,128.669998,130.380005,122.930000,128.380005,90.191322,45328500
2010-07-26,128.179993,129.500000,127.040001,128.399994,90.205360,29087100
2010-08-02,129.250000,131.979996,128.759995,130.139999,91.427780,26753600
2010-08-09,130.789993,132.490005,127.330002,127.870003,90.278145,27721100
2010-08-16,127.470001,130.199997,126.959999,127.500000,90.016945,24839400
2010-08-23,127.570000,128.029999,122.419998,124.730003,88.061264,28851700
2010-08-30,125.080002,127.599998,122.279999,127.580002,90.073425,25097500
2010-09-06,126.989998,128.289993,125.389999,127.989998,90.362869,16686200
2010-09-13,128.630005,130.600006,128.429993,130.190002,91.916122,29966700
2010-09-20,130.240005,134.149994,130.110001,134.110001,94.683685,28357000
2010-09-27,133.509995,136.279999,133.509995,135.639999,95.763878,30834900
2010-10-04,135.229996,139.089996,134.389999,138.850006,98.030190,26027000
2010-10-11,138.789993,142.100006,138.270004,141.059998,99.590462,31299400
2010-10-18,140.899994,143.029999,136.699997,139.669998,98.609154,41753800
2010-10-25,140.419998,144.000000,138.529999,143.600006,101.383759,32583300
2010-11-01,143.639999,146.929993,142.320007,146.919998,103.727745,27101400
2010-11-08,145.350006,147.529999,143.350006,143.740005,101.482628,24816000
2010-11-15,143.889999,145.350006,141.179993,145.050003,102.862572,24207800
2010-11-22,144.000000,146.440002,142.330002,143.899994,102.047028,15256400
2010-11-29,143.529999,145.850006,141.279999,145.380005,103.096619,28622500
2010-12-06,144.539993,146.300003,143.520004,144.820007,102.699478,21020900
2010-12-13,145.139999,146.009995,144.149994,145.000000,102.827133,28194800
2010-12-20,145.389999,146.399994,144.330002,145.889999,103.458267,13585400
2010-12-27,145.119995,147.500000,145.000000,146.759995,104.075249,14684300
2011-01-03,147.210007,148.860001,146.639999,147.929993,104.904930,23486200
2011-01-10,147.580002,150.000000,146.750000,150.000000,106.372871,19878500
2011-01-17,149.820007,156.779999,149.380005,155.500000,110.273232,35766800
2011-01-24,155.419998,164.350006,155.330002,159.210007,112.904167,32502900
2011-01-31,159.179993,164.199997,158.679993,164.000000,116.301033,25371100
2011-02-07,164.080002,166.250000,163.179993,163.850006,116.194672,26097300
2011-02-14,164.179993,164.839996,162.520004,164.839996,117.359505,18590000
2011-02-21,163.570007,164.259995,159.029999,162.279999,115.536903,21433300
2011-02-28,162.360001,164.309998,159.410004,161.830002,115.216499,21537300
2011-03-07,161.600006,167.720001,158.850006,162.429993,115.643677,31095800
2011-03-14,161.160004,161.979996,151.710007,155.889999,110.987503,41798000
2011-03-21,157.639999,162.740005,157.070007,162.179993,115.465744,25371800
2011-03-28,161.539993,164.419998,161.119995,164.270004,116.953705,19066300
2011-04-04,164.419998,164.750000,163.160004,164.050003,116.797043,17602700
2011-04-11,163.440002,166.339996,162.300003,166.210007,118.334938,22168000
2011-04-18,164.639999,168.449997,162.190002,168.279999,119.808685,29758000
2011-04-25,167.649994,173.000000,167.229996,170.580002,121.446152,26858900
2011-05-02,172.110001,173.539993,167.500000,168.889999,120.242966,29465600
2011-05-09,168.389999,172.770004,167.820007,169.919998,121.517296,23498700
2011-05-16,169.809998,171.410004,166.529999,170.160004,121.688919,25997900
2011-05-23,168.580002,168.690002,165.899994,167.500000,119.786667,22718600
2011-05-30,168.440002,169.889999,164.130005,165.050003,118.034546,23342600
2011-06-06,164.759995,165.960007,162.869995,163.179993,116.697227,20640600
2011-06-13,164.440002,165.100006,161.520004,164.440002,117.598335,29385600
2011-06-20,163.699997,166.809998,163.589996,165.070007,118.048851,22978000
2011-06-27,165.740005,174.649994,165.210007,174.539993,124.821236,23400700
2011-07-04,173.520004,177.770004,173.520004,176.490005,126.215797,20777900
